"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Barnesiella" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Butyricimonas" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Odoribacter" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes" "Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium" "Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium" "Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIII.Anaerovorax" "Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIV.Blautia" "Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea" "Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Butyricicoccus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum" "Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Acidaminococcus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Dialister" "Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Phascolarctobacterium" "Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella" "Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Coprobacillus" "Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Holdemania" "Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Turicibacter" "Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae.Parasutterella" "Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae.Sutterella"
"3027" 4674 166 10 29 93 0 250 0 0 0 1 2 1 27 6 0 1 0 1 0 1 0 0 167 0 0 0 0 9 0
"3028" 496 0 0 0 13 2489 147 0 12 36 1 53 331 24 107 0 7 110 21 75 44 0 55 0 0 0 0 0 1 25
"3029" 5799 366 0 71 445 0 106 0 0 1 0 24 6 13 8 0 0 56 10 13 21 9 72 0 0 0 1 6 535 0
"3030" 2503 196 0 155 443 0 497 1 5 130 1 93 20 27 532 0 7 308 137 0 51 13 0 0 3 0 2 0 33 0
"3031" 795 325 38 62 123 0 230 0 0 8 1 33 53 6 125 1 1 99 267 0 18 0 0 46 1 0 4 0 14 0
"3032" 4358 485 26 212 301 0 274 0 0 0 0 7 0 3 229 1 0 7 37 0 0 11 3 0 0 3 10 0 118 0
"3033" 1671 858 53 88 247 262 1383 4 2 1 9 47 107 23 148 5 4 268 193 18 286 0 465 5 0 13 1 9 28 0
"3034" 5170 274 40 150 133 0 1137 19 1 0 2 147 181 32 587 0 3 556 265 81 129 0 1 160 16 0 15 31 9 0
"3037" 7309 463 0 0 1122 0 669 0 0 0 2 153 41 25 110 7 8 361 50 0 318 0 58 0 1 2 1 1 202 0
"3038" 2173 303 54 45 1321 0 3416 6 0 0 8 65 13 24 2 28 15 34 234 439 34 2 1 0 0 0 0 0 7 0
"3039" 2697 260 24 28 391 320 471 6 0 6 8 49 37 24 25 115 0 58 332 125 17 0 18 168 0 0 0 0 0 25
"3040" 216 10 37 75 146 5861 217 7 14 270 3 31 189 76 395 12 3 404 556 381 60 27 1 0 17 0 0 0 1 0
"3041" 5892 0 0 169 0 91 1413 5 1 4 6 47 7 3 51 16 10 271 225 32 273 0 0 511 0 0 9 0 1 69
"3042" 8586 0 0 0 2251 0 0 2 0 1 0 83 0 15 1199 8 6 915 208 256 305 0 78 0 0 5 1 0 1 0
"3043" 3344 108 95 0 69 4077 237 4 0 0 0 211 30 18 152 2 8 956 132 0 24 0 0 275 10 0 3 0 160 0
"3044" 5156 0 71 267 154 0 673 1 0 0 8 39 51 0 127 38 3 186 581 282 479 0 4 302 18 0 2 0 29 0
"3045" 3623 0 0 0 234 0 93 0 0 0 9 217 604 56 141 0 9 2217 165 0 165 0 0 264 1 0 1 1 107 0
"3046" 3612 703 24 186 546 1202 1345 3 1 95 3 250 25 46 63 27 4 505 340 19 104 20 0 0 0 0 3 1 0 0
"3047" 3964 0 72 105 379 0 1186 11 1 0 3 82 76 7 75 9 0 275 827 190 224 0 0 159 2 0 0 1 127 0
"3048" 3281 0 0 89 921 0 505 5 0 2 3 29 8 22 72 26 8 211 60 0 59 0 55 0 0 0 12 0 0 0
"3049" 1557 128 28 0 46 0 16 0 1 0 1 29 6 8 130 3 2 51 40 14 80 11 21 9 1 0 0 0 0 0
"3050" 3508 245 53 217 421 0 854 8 3 0 3 108 56 10 439 4 15 859 493 0 434 0 145 66 0 0 5 0 23 0
"3051" 6535 0 0 370 584 0 496 0 0 2 1 114 3 75 127 27 5 1220 39 17 30 0 524 0 0 1 5 0 98 0
"3052" 1611 27 2 6 131 9623 32 1 4 25 0 93 11 26 3 0 1 328 15 0 115 0 0 0 2 0 0 0 1 204
"3053" 5792 263 76 87 486 1 66 0 233 0 3 145 21 44 902 2 10 481 96 20 277 0 71 9 1 2 4 6 58 0
"3055" 2853 409 69 34 48 0 307 1 0 0 0 33 14 6 68 1 2 160 175 35 247 0 0 333 1 0 1 1 17 0
"3056" 6619 915 98 251 644 0 488 2 0 0 0 49 99 51 40 1 2 301 66 144 45 49 0 78 0 0 8 3 64 0
"3057" 6382 0 0 264 221 0 200 2 1 0 1 56 21 0 195 4 5 0 14 688 152 276 90 0 0 0 3 0 0 107
"3059" 4350 563 46 136 328 0 649 0 9 0 1 95 73 33 84 1 8 593 169 98 122 0 37 0 2 0 1 0 151 0
"3060" 5665 0 87 70 653 0 309 2 26 0 5 96 171 32 50 5 3 495 103 283 146 0 56 0 1 109 0 1 116 0
"3062" 2800 2 0 4 1144 1 94 1 0 0 2 20 0 3 12 0 0 2 0 0 18 0 0 63 0 0 0 0 1 0
"3063" 7463 309 0 71 677 0 96 0 0 4 0 62 80 15 196 1 2 40 45 0 17 0 0 0 0 0 0 0 121 0
"3064" 1519 129 32 132 95 5997 121 13 4 45 1 178 476 131 335 1 0 378 181 7 54 0 0 0 4 0 2 2 82 0
"3065" 3134 72 69 57 769 34 590 5 4 130 47 78 21 134 38 48 0 69 591 51 44 23 0 0 0 0 0 1 0 0
"3066" 5821 0 0 0 169 1 199 6 0 0 1 146 266 20 1009 2 3 464 102 101 0 0 192 0 11 27 0 0 0 123
"3067" 7731 214 15 247 509 0 1680 0 0 0 2 146 20 33 7 1 5 498 33 13 142 66 2 7 1 0 7 7 0 9
"3068" 1592 21 72 153 884 208 411 1 0 287 20 201 90 20 205 3 3 472 716 245 54 0 0 0 1 23 3 0 4 0
"3069" 1908 194 4 46 53 0 318 1 0 0 4 70 6 20 20 1 4 142 35 0 18 0 0 99 0 0 0 0 19 0
"3070" 3185 128 31 7 484 553 61 0 0 20 4 16 35 67 20 1 8 1233 94 2 222 254 3 0 0 0 2 0 0 30
"3072" 3906 2 61 275 212 0 660 1 0 284 5 154 224 33 86 1 6 736 512 728 121 0 0 0 0 0 2 0 170 0
"3074" 3952 305 43 81 463 598 620 3 1 0 3 104 259 62 86 3 10 790 214 50 156 0 2 239 0 0 1 2 2 218
"3075" 7768 0 52 68 134 0 581 0 0 0 0 59 11 54 278 0 1 609 202 22 294 0 0 64 1 0 1 0 6 0
"3076" 2447 263 30 93 338 0 363 9 2 0 2 63 128 10 117 1 3 317 205 20 111 0 12 98 6 29 2 1 349 0
"3077" 7700 0 0 0 212 0 20 0 1 1 3 96 130 22 239 5 4 622 6 0 33 0 0 306 0 1 4 0 0 0
"3078" 4229 576 116 89 181 0 248 9 91 0 4 295 191 43 782 2 21 830 226 35 220 0 0 0 3 0 3 32 29 0
"3079" 11249 0 15 71 484 599 393 2 0 114 0 105 20 65 455 4 3 457 18 8 194 0 0 170 7 0 9 1 97 0
"3080" 1795 0 4 4 57 9419 16 1 0 17 2 14 24 50 206 0 3 1226 35 11 23 0 0 0 1 0 1 0 0 258
"3081" 2273 246 53 204 156 1 477 0 2 0 7 244 198 73 297 50 6 644 133 147 59 0 82 0 0 0 1 0 3 0
"3082" 8985 0 0 0 484 0 357 0 0 0 1 41 2 9 354 5 2 429 53 68 85 0 258 0 4 5 1 0 0 0
"3083" 8307 0 0 0 2102 0 0 1 0 0 0 440 0 255 129 12 0 64 1 0 0 0 184 0 11 51 24 1 0 0
"3084" 7495 421 0 134 338 0 1854 6 0 0 8 272 128 124 30 107 1 74 672 0 97 0 0 122 0 7 48 3 41 0
"3085" 11890 0 0 0 0 0 171 1 0 0 0 91 27 0 1244 0 8 474 45 104 0 0 49 0 1 1 0 2 371 0
"3086" 3889 207 63 203 199 0 419 2 35 161 0 51 249 39 840 7 2 790 494 248 399 42 0 74 1 1 0 14 38 0
"4000" 893 0 0 47 347 2824 207 1 8 0 6 35 51 17 233 2 0 245 210 33 148 0 276 0 5 0 0 1 4 0
"4001" 1080 0 0 38 76 25 374 51 0 1 15 81 43 70 13 3 2 33 401 95 99 0 142 10 4 0 0 0 0 1
"4002" 2624 0 13 167 800 0 404 0 2 1 2 55 16 21 121 4 2 241 40 15 126 0 50 0 4 0 1 1 29 0
"4004" 992 0 0 0 499 0 246 1 0 2 24 88 0 0 70 6 1 286 24 140 50 0 230 0 0 1 3 0 0 0
"4005" 1753 38 7 38 252 14 447 0 4 51 3 32 13 26 4 17 0 102 162 80 84 0 0 0 0 0 1 0 5 3
"4006" 5335 472 38 0 31 0 166 1 31 0 7 51 68 53 154 2 1 120 187 7 101 0 58 0 3 120 6 1 82 0
"4007" 540 2 15 4 73 0 264 3 0 20 0 35 63 4 6 0 2 54 87 48 16 0 0 0 0 0 3 0 1 0
"4009" 1278 63 0 23 70 0 116 1 1 77 0 20 13 5 46 0 0 25 10 64 40 0 0 7 1 0 0 1 0 1
"4010" 4331 409 0 76 163 0 303 5 0 0 1 235 2 48 156 0 5 99 9 0 0 327 0 152 0 0 0 0 6 0
"4011" 2518 0 0 70 496 0 597 8 0 20 1 2 0 5 6 9 0 15 10 15 17 0 315 0 3 1 0 0 33 0
"4013" 1544 0 0 0 0 0 0 1 5 0 0 68 0 0 279 2 3 0 12 0 0 0 9 0 0 110 3 1 0 83
"4014" 388 34 4 52 52 1242 63 1 10 8 0 30 4 11 73 0 2 114 38 10 294 0 0 43 0 9 1 0 0 96
"4017" 2919 688 0 182 376 2075 949 0 6 24 1 90 100 92 479 7 20 603 312 89 108 0 0 0 0 5 6 24 73 0
"4020" 4438 0 0 0 230 0 0 8 4 0 2 52 0 49 1193 0 29 1340 59 36 0 0 199 0 2 0 0 0 45 0
"4021" 7691 0 0 0 526 0 497 3 0 0 0 221 0 0 166 4 1 0 51 0 0 0 0 121 1 40 11 0 120 0
"4022" 8120 0 0 91 383 0 398 1 16 0 1 85 34 4 9 4 0 12 8 0 0 4 0 127 0 2 4 0 0 6
"4023" 4132 819 179 220 332 0 605 0 5 0 1 90 33 10 392 2 1 468 261 126 430 0 0 62 0 31 0 4 28 169
"4024" 5410 0 0 49 278 0 673 2 3 1 5 66 2 23 64 3 2 268 93 0 353 0 1 348 4 0 0 0 80 0
"4025" 4451 0 0 0 225 0 0 1 0 0 0 38 3 5 76 51 1 489 6 53 15 0 1 19 6 0 3 0 0 266
"4026" 1349 0 0 40 263 1197 85 17 0 0 3 119 73 19 157 1 24 550 41 208 179 0 776 0 1 0 4 0 187 0
"4027" 4154 0 9 259 1129 11 726 4 2 0 7 99 15 25 29 13 0 36 306 238 5 0 33 0 0 18 1 0 5 0
"4028" 2342 731 0 105 57 0 798 0 1 0 2 22 38 6 244 1 3 241 159 42 213 0 150 0 5 0 1 5 75 0
"4029" 465 196 23 61 45 4958 90 3 5 0 0 45 42 20 88 1 9 131 56 41 33 0 56 140 0 0 1 3 0 18
"4030" 1641 348 66 200 1113 284 644 0 0 52 3 21 12 14 4 3 12 181 685 34 83 0 61 23 0 0 0 1 0 16
